Title	Location	Salary	Experience	English	Skills
Data Engineer/Scala Developer 	Київ	$1100		Advanced/Fluent	Scala,Akka,Java,Linux,Git,RESTAPI,Functionalprogramming,RabbitMQ,Docker,Kubernetes,PostgreSQL,SQL,OOP,JSON,DistributedSystems,Microservices,GoogleCloud,Jenkins,BigQuery,Sbt,PlayFramework
Data Engineer with Scala 	Київ	$6700	7	Upper	Scala,ApacheSpark,Kafka,Cassandra,Gradle,DistributedSystems,Git,DesignPatterns,Linux,Docker,Hadoop,ScalaTest,AkkaActors,Cats,Lua,ApacheBeam,AWS,Solr,Functionalprogramming
Junior/Trainee Scala Developer 	Запоріжжя,Київ,Львів,Дніпро	$400	3	Intermediate	Python,Django,Git,PostgreSQL,Linux,JavaScript,MySQL,RESTAPI,Docker,Flask,Redis,Celery,SQL,MongoDB,HTML,AWS,Aiohttp,Django-Rest-Framework,DjangoChannels,Scala,Akka,Java,HTTP,Scrapy,Slick,Sanic,Cassandra,DjangoRESTFramework,RabbitMQ,Nginx,ApacheSpark,Spark,Akka-http,Akkastreaming,Playframework
Scala Developer/Team Lead/Data Engineer/ML 	Харків,remote	$5000	10	Upper	Scala,Akka,Spark,Kafka,Hadoop,Cassandra,Docker,OOP,AWS,BigData
Senior Scala Developer / Tech Lead 	Київ,Мюнхен	$5500	5	Upper	Scala,Akka,PostgreSQL,Kafka,Slick,RabbitMQ,PlayFramework,Functionalprogramming,GoogleCloud,ElasticSearch
DevOps/System Engineer | SRE | Backend Developer 	будь-якемісто	$3500	10	Upper	AWS,Chef,FreeBSD,Linux,puppet,Python,Ruby,Shell,MongoDB,MySQL,Oracle,Django,RubyonRails,Jenkins,Docker,Git,Ansible,Scala,PostgreSQL,CI/CD,Kubernetes,VMware
Scala developer 	Віддаленаробота,Україна	$4700	10	Intermediate	Scala,Spark,Linux,Sbt,Cassandra,Akka,Git,PlayFramework,Python,AkkaStream,Functionalprogramming,Cats,Cats-effect,Kafka,Redis,AWS
Scala Developer 	Київ	$4500	10	Upper	Scala,Akka,NoSQL
Senior Scala Developer 	Київ	$4500	7	Upper	Scala,Akka,Spark,Java,SQL,Linux,Git,MongoDB,Docker,Functionalprogramming,PlayFramework,Kafka,Sbt,play-framework,AWS,RESTAPI,JSON,Cassandra,Cats-effect,Multithreading,OOP
Scala Developer 	Віддаленаробота,Україна	$700	5	Pre-Intermediate	OOP,Scala,Functionalprogramming,Sbt,ApacheSpark,Spray.io,Java,RESTAPI,PostgreSQL
Java/Scala Developer 	Київ	$4000	5	Upper	Scala,Java,AWS,Spark,PlayFramework,RESTAPI,Maven,Sbt
Senior scala developer/Tech lead/Architect 	Віддаленаробота,Україна	$4000	10	Upper	http4s,Scala,Akka,MongoDB,Kafka,PostgreSQL,Git,Sbt,PlayFramework,Cassandra,Functionalprogramming,SQL,Linux,CI,Docker,Circe,AWS,Redis,RESTAPI
Scala/Big Data Developer 	Remote,Київ,Харків	$6000	4	Advanced/Fluent	Scala,Spark,Cassandra,Hadoop,Kafka,Java,Python,AmazonAWS
